country_name,poverty_line,PIP_Region,changepoorpop,changeHC,ISO_A3
Albania,2.15,ECA,-22677.0659898805,-0.00689997754170811,ALB
Albania,3.65,ECA,-314784.467678955,-0.0949890369924347,ALB
Albania,6.85,ECA,-1383183.64391119,-0.409056920960068,ALB
Algeria,2.15,MNA,-1188636.05156303,-0.0486227605600548,DZA
Algeria,3.65,MNA,-4670916.35218282,-0.199547897123009,DZA
Algeria,6.85,MNA,-2583467.88203271,-0.310807032424273,DZA
Angola,2.15,SSA,10660605.738957,0.189127164189395,AGO
Angola,3.65,SSA,16917422.6289842,0.268756919894615,AGO
Angola,6.85,SSA,22047124.7548172,0.22936559413513,AGO
Armenia,2.15,ECA,-94479.5450140234,-0.0251057669363002,ARM
Armenia,3.65,ECA,-319866.186952924,-0.0717773801223254,ARM
Armenia,6.85,ECA,-232498.399834785,0.038799244403125,ARM
Australia,2.15,OHI,-3951.48518752301,-0.00288590420457979,AUS
Australia,3.65,OHI,16990.1762391632,-0.00294636849532746,AUS
Australia,6.85,OHI,-46493.1701152772,-0.00798020028635363,AUS
Austria,2.15,OHI,49097.0689794872,0.00534182081102686,AUT
Austria,3.65,OHI,48240.4444278419,0.00511206697062504,AUT
Austria,6.85,OHI,43882.1767567531,0.00431901931268304,AUT
Azerbaijan,2.15,ECA,-81054.4230989274,-0.0112964688230192,AZE
Azerbaijan,3.65,ECA,-300456.327571913,-0.0418742791241935,AZE
Azerbaijan,6.85,ECA,-1502997.23648307,-0.210137146325277,AZE
Bangladesh,2.15,SAS,-35335943.6245995,-0.369688960766107,BGD
Bangladesh,3.65,SAS,-33166362.9866137,-0.520602567631428,BGD
Bangladesh,6.85,SAS,29280688.3822327,-0.214685542195507,BGD
Belarus,2.15,ECA,-12832.8320459473,-0.00125943603515625,BLR
Belarus,3.65,ECA,-561372.271786295,-0.055082316446521,BLR
Belarus,6.85,ECA,-4955242.36124421,-0.484529119272862,BLR
Belgium,2.15,OHI,-63660.3052394413,-0.00651993906047968,BEL
Belgium,3.65,OHI,-70592.2543560312,-0.00730115554841436,BEL
Belgium,6.85,OHI,-70674.8723625375,-0.00746066107653062,BEL
Belize,2.15,LAC,42390.7527540057,-0.006690904021844,BLZ
Belize,3.65,LAC,80238.9775568652,-0.0390373943999005,BLZ
Belize,6.85,LAC,144391.673162083,-0.0251711581853423,BLZ
Benin,2.15,SSA,-954273.51969272,-0.471638395915628,BEN
Benin,3.65,SSA,2112223.85336906,-0.384905640507604,BEN
Benin,6.85,SSA,5984141.93078776,-0.158695344692363,BEN
Bhutan,2.15,SAS,-186742.835540837,-0.354094732729578,BTN
Bhutan,3.65,SAS,-294238.402234637,-0.581377939910577,BTN
Bhutan,6.85,SAS,-223886.648744513,-0.570283744415259,BTN
Bolivia,2.15,LAC,-891787.74462078,-0.146215016224591,BOL
Bolivia,3.65,LAC,-1199159.39740083,-0.22012047235825,BOL
Bolivia,6.85,LAC,-1406391.75468099,-0.336566004026539,BOL
Bosnia and Herzegovina,2.15,ECA,-251441.022345003,-0.0561711506725792,BIH
Bosnia and Herzegovina,3.65,ECA,-1273743.96254347,-0.284706797924275,BIH
Bosnia and Herzegovina,6.85,ECA,-3374786.65314678,-0.748760155965373,BIH
Botswana,2.15,SSA,-69383.631531978,-0.194655161141992,BWA
Botswana,3.65,SSA,232794.7150032,-0.188489144156232,BWA
Botswana,6.85,SSA,621729.008260958,-0.158583411082978,BWA
Brazil,2.15,LAC,-24365210.0648339,-0.187052408985845,BRA
Brazil,3.65,LAC,-39287681.5080634,-0.310563252303946,BRA
Brazil,6.85,LAC,-39556191.7573739,-0.379979032118113,BRA
Bulgaria,2.15,ECA,46566.1642522287,0.007086390619282,BGR
Bulgaria,3.65,ECA,151076.611314716,0.0226707003891185,BGR
Bulgaria,6.85,ECA,386866.867050353,0.0586436704652616,BGR
Burkina Faso,2.15,SSA,-476139.807311829,-0.527003448745389,BFA
Burkina Faso,3.65,SSA,5296450.07619755,-0.333479645879732,BFA
Burkina Faso,6.85,SSA,9711323.54330297,-0.169256301566112,BFA
Burundi,2.15,SSA,5444764.49639008,-0.0158912803782481,BDI
Burundi,3.65,SSA,6593945.92704541,-0.0275440766462601,BDI
Burundi,6.85,SSA,7220025.44004185,-0.0111239999517632,BDI
Cabo Verde,2.15,SSA,-177748.80118575,-0.551719949173527,CPV
Cabo Verde,3.65,SSA,-173533.130423418,-0.632832905250888,CPV
Cabo Verde,6.85,SSA,-32880.7937820124,-0.449384212903196,CPV
Cameroon,2.15,SSA,2101927.16881968,-0.129715392274742,CMR
Cameroon,3.65,SSA,4307113.06381163,-0.230639721467076,CMR
Cameroon,6.85,SSA,9810204.06238468,-0.14791224100694,CMR
Canada,2.15,OHI,34493.7381276874,0.00028556122695573,CAN
Canada,3.65,OHI,130772.768753033,0.00278928546650218,CAN
Canada,6.85,OHI,64183.5646149132,-0.00057787781520302,CAN
Central African Republic,2.15,SSA,1581753.97066221,-0.109851501168949,CAF
Central African Republic,3.65,SSA,2202349.66784083,-0.0488036004711527,CAF
Central African Republic,6.85,SSA,2580548.62144977,-0.013992048482656,CAF
Chad,2.15,SSA,2353483.08266649,-0.285846765331654,TCD
Chad,3.65,SSA,6865088.54735595,-0.183112973579532,TCD
Chad,6.85,SSA,10331599.4711701,-0.0586797537784243,TCD
Chile,2.15,LAC,-1305800.26964472,-0.101051715860776,CHL
Chile,3.65,LAC,-3485918.57693424,-0.268648795082849,CHL
Chile,6.85,LAC,-6246963.28731164,-0.49950649874796,CHL
China,2.15,EAP,-815637299.053087,-0.718733854141798,CHN
China,3.65,EAP,-1026206578.12547,-0.908654725833214,CHN
China,6.85,EAP,-832602888.01681,-0.785732203362728,CHN
Colombia,2.15,LAC,-773904.90564243,-0.0506646523246601,COL
Colombia,3.65,LAC,-1421797.4664483,-0.114042624797779,COL
Colombia,6.85,LAC,-1250510.85029142,-0.220871592995405,COL
Comoros,2.15,SSA,106523.901747843,0.063084629086719,COM
Comoros,3.65,SSA,199344.202995701,0.0729877431837938,COM
Comoros,6.85,SSA,310658.962474017,0.0435291916925177,COM
"Congo, Dem. Rep.",2.15,SSA,38368736.8633614,-0.020779419047909,COD
"Congo, Dem. Rep.",3.65,SSA,52733297.8670081,-0.0158971293663754,COD
"Congo, Dem. Rep.",6.85,SSA,61413268.4151231,-0.00251777367434747,COD
"Congo, Rep.",2.15,SSA,2187978.21590154,0.0913645765011351,COG
"Congo, Rep.",3.65,SSA,2949070.51581321,0.0755898645669586,COG
"Congo, Rep.",6.85,SSA,3471495.90637571,0.0476672463022719,COG
Costa Rica,2.15,LAC,-272078.327536033,-0.0938166978439532,CRI
Costa Rica,3.65,LAC,-485755.198361009,-0.176553732435306,CRI
Costa Rica,6.85,LAC,-783038.307475476,-0.332736031636383,CRI
Cote d'Ivoire,2.15,SSA,471462.01094673,-0.0888491413838202,CIV
Cote d'Ivoire,3.65,SSA,4368992.51713076,-0.11968817909138,CIV
Cote d'Ivoire,6.85,SSA,10864506.2490964,-0.0750749590472529,CIV
Croatia,2.15,ECA,9461.43378396867,0.00261705917917727,HRV
Croatia,3.65,ECA,26871.6192069843,0.00734490648810195,HRV
Croatia,6.85,ECA,147016.768338144,0.0389675265067366,HRV
Cyprus,2.15,OHI,782.89488076231,4.82740041954899e-05,CYP
Cyprus,3.65,OHI,732.484295828552,-0.00045220668933255,CYP
Cyprus,6.85,OHI,-7663.92545651226,-0.012150267818622,CYP
Czech Republic,2.15,ECA,0,0,CZE
Czech Republic,3.65,ECA,0,0,CZE
Czech Republic,6.85,ECA,-22864.2756403681,-0.00225507326749313,CZE
Denmark,2.15,OHI,-10676.1565837575,-0.00243922235058362,DNK
Denmark,3.65,OHI,-18658.1913036843,-0.0041137118070541,DNK
Denmark,6.85,OHI,-41153.687677473,-0.00856813532116076,DNK
Djibouti,2.15,MNA,116671.440655854,0.056261346511946,DJI
Djibouti,3.65,MNA,242696.740276327,0.0696268439614126,DJI
Djibouti,6.85,MNA,426789.539401491,0.0633816992510013,DJI
Dominican Republic,2.15,LAC,-1167920.609239,-0.167759075896692,DOM
Dominican Republic,3.65,LAC,-2323958.56514558,-0.342957840416089,DOM
Dominican Republic,6.85,LAC,-2788846.03650486,-0.488677695635705,DOM
Ecuador,2.15,LAC,-1163884.44432634,-0.143620039928989,ECU
Ecuador,3.65,LAC,-1782334.15397418,-0.256464094434162,ECU
Ecuador,6.85,LAC,-1097492.39611385,-0.348435955398525,ECU
"Egypt, Arab Rep.",2.15,MNA,-1119506.97506028,-0.0372798947165973,EGY
"Egypt, Arab Rep.",3.65,MNA,-576166.445158329,-0.175159892480495,EGY
"Egypt, Arab Rep.",6.85,MNA,30971059.3034854,-0.112455475022012,EGY
El Salvador,2.15,LAC,-890629.723220411,-0.171641937629362,SLV
El Salvador,3.65,LAC,-1318630.57829897,-0.262444774874302,SLV
El Salvador,6.85,LAC,-1249270.00110086,-0.292796297967635,SLV
Estonia,2.15,ECA,-3260.10562529317,-0.00135495892042582,EST
Estonia,3.65,ECA,-25152.8513813963,-0.0147655964662293,EST
Estonia,6.85,ECA,-214765.538721751,-0.134820385999369,EST
Eswatini,2.15,SSA,-323387.13775763,-0.540599675086206,SWZ
Eswatini,3.65,SSA,-111410.380432388,-0.389987967173941,SWZ
Eswatini,6.85,SSA,112426.997714117,-0.216742691978807,SWZ
Ethiopia,2.15,SSA,-12271620.5834585,-0.491340171432252,ETH
Ethiopia,3.65,SSA,14325159.7713086,-0.412062588577225,ETH
Ethiopia,6.85,SSA,58785360.6716065,-0.112724280935135,ETH
Fiji,2.15,EAP,-11798.7253747671,-0.0212580672526468,FJI
Fiji,3.65,EAP,-2227.58936066506,-0.0443246352974645,FJI
Fiji,6.85,EAP,130324.814198988,0.0206644202835652,FJI
Finland,2.15,OHI,2151.42859509745,0.000388292295548243,FIN
Finland,3.65,OHI,5539.08057747342,0.000999699603117165,FIN
Finland,6.85,OHI,-3344.82466869898,-0.000849499294112167,FIN
France,2.15,OHI,-447521.374413405,-0.00770788507468981,FRA
France,3.65,OHI,-561922.644613572,-0.00972844179218406,FRA
France,6.85,OHI,-868586.857062469,-0.0150598532882653,FRA
Gabon,2.15,SSA,29759.9794974738,-0.008099038636079,GAB
Gabon,3.65,SSA,56298.3931264719,-0.0703465231456921,GAB
Gabon,6.85,SSA,321046.822831924,-0.147733904263739,GAB
"Gambia, The",2.15,SSA,-412612.300521287,-0.618876749991047,GMB
"Gambia, The",3.65,SSA,211267.8627788,-0.486798521639771,GMB
"Gambia, The",6.85,SSA,1166877.16604108,-0.191112391418825,GMB
Georgia,2.15,ECA,144759.76925279,0.0386604927785979,GEO
Georgia,3.65,ECA,572563.451621635,0.153268964267702,GEO
Georgia,6.85,ECA,1431215.35982165,0.404724195458843,GEO
Germany,2.15,OHI,0,0,DEU
Germany,3.65,OHI,208196.69428128,0.00249726623907975,DEU
Germany,6.85,OHI,49933.4304438999,0.000504854948338463,DEU
Ghana,2.15,SSA,-3176179.38205268,-0.480856717218315,GHA
Ghana,3.65,SSA,767826.118320093,-0.479174643044001,GHA
Ghana,6.85,SSA,9982845.64565413,-0.249101530223855,GHA
Greece,2.15,OHI,-106447.215470752,-0.0105649939483949,GRC
Greece,3.65,OHI,-101312.266293868,-0.0101617804271092,GRC
Greece,6.85,OHI,-236051.048519472,-0.0238152290541111,GRC
Guatemala,2.15,LAC,-2088079.84679182,-0.289613040378612,GTM
Guatemala,3.65,LAC,-1321200.44955913,-0.336496817734573,GTM
Guatemala,6.85,LAC,1466840.52588281,-0.287637308566238,GTM
Guinea,2.15,SSA,-3717005.21519866,-0.743817085081692,GIN
Guinea,3.65,SSA,172013.076496246,-0.512333439102787,GIN
Guinea,6.85,SSA,5582522.4497192,-0.138856636812013,GIN
Guinea-Bissau,2.15,SSA,-12290.006153063,-0.240176386590192,GNB
Guinea-Bissau,3.65,SSA,527382.293968795,-0.089611997714481,GNB
Guyana,2.15,LAC,-247519.734571781,-0.335701816384522,GUY
Guyana,3.65,LAC,-449663.758564057,-0.608444522399227,GUY
Guyana,6.85,LAC,-609153.257300903,-0.825801328241668,GUY
Haiti,2.15,LAC,-2167320.33077971,-0.491605148927755,HTI
Haiti,3.65,LAC,366260.111054397,-0.314634897626698,HTI
Haiti,6.85,LAC,3113717.98439469,-0.106677176250956,HTI
Honduras,2.15,LAC,-710409.19573945,-0.2885923869018,HND
Honduras,3.65,LAC,-285256.851163951,-0.354411832163739,HND
Honduras,6.85,LAC,1183557.26857688,-0.31998376222859,HND
Hungary,2.15,ECA,-50383.0219793372,-0.00474606013102985,HUN
Hungary,3.65,ECA,-100655.838793458,-0.00942668616447595,HUN
Hungary,6.85,ECA,-1522725.99476223,-0.14595344461667,HUN
Iceland,2.15,OHI,-96.0511324344918,-0.000376928305724266,ISL
Iceland,3.65,OHI,-397.339645402227,-0.00164231584997237,ISL
Iceland,6.85,OHI,-1415.68633734749,-0.00574575807427574,ISL
India,2.15,SAS,-312889778.474068,-0.409161833486132,IND
India,3.65,SAS,-153194948.073901,-0.426823039818967,IND
India,6.85,SAS,310606484.882028,-0.15134741134498,IND
Indonesia,2.15,EAP,-103494857.979292,-0.589965238176977,IDN
Indonesia,3.65,EAP,-95918791.3982631,-0.648878025187091,IDN
Indonesia,6.85,EAP,-10190228.4122713,-0.370363614093376,IDN
"Iran, Islamic Rep.",2.15,MNA,-4011366.32796701,-0.0759439865413681,IRN
